Section,Field / Criterion,Description,Example / Current Value,Currently Enforced Today?,Proposed Threshold (fill in),Notes
"Raw metric","followers","Instagram follower count at last scrape","164,380 (holler.academy)","Yes - hard filter (min/max)","","Current range: 5,000-500,000"
"Raw metric","following","Accounts this profile follows","","No","","Captured but unused in scoring"
"Raw metric","posts","Total lifetime post count","","No","","Captured but unused in scoring"
"Raw metric","posts_last_30_days","Posts (any type) published in the last 30 days","","No - not gated","","The reels-specific version below IS gated; this total-posts field is not"
"Raw metric","reels_last_30_days","Reels published in the last 30 days","0 (holler.academy)","Yes - hard filter (min 1) + 15% of score","","Gate only kicks in once >=3 reels have actually been sampled, so an incomplete scrape can't wrongly fail it"
"Raw metric","avg_likes / avg_comments / avg_views","Average engagement across up to 3 recent unpinned reels (falls back to all posts if no reels)","","Feeds engagement_rate only","",""
"Raw metric","engagement_rate","avg_likes / followers","1.33% (holler.academy)","Yes - hard filter min 0.5% + 25% of score","","Piecewise curve: >=6%->10, >=4%->9, >=2.5%->8, >=1.5%->6.5, >=0.8%->5, >=0.3%->3, else 1"
"Raw metric","activity_status","very_active / active / semi_active / inactive, derived from reels/30d","","No - stored only","","Doesn't gate on its own"
"Raw metric","bio","Bio text","","Yes - must exist and be >=5 chars","","Also scanned for include/exclude keywords"
"Raw metric","external_link","URL in bio (""link in bio"")","","No hard gate - feeds score only","","+2 of 10 to monetization sub-score if present; not required to qualify today"
"Raw metric","is_private","Private account flag","","Yes - hard reject if true","",""
"Raw metric","is_verified","Blue-check verified flag","","No - unused","",""
"Raw metric","full_name / username","Identity text fields","","Scanned for keywords","",""
"Raw metric","recent_posts captions","Captions, likes, comments, views, date for ~12 most recent posts","","Captions scanned for include-keyword match","",""
"AI classification","niche","Free-text niche label assigned by the AI","""content coaching""","Informational only","",""
"AI classification","business_model","course / coaching / agency / ecom / saas / creator / unknown","","Yes - routes track + monetization bonus","","agency routes to a separate ""partnership"" track with different qualification rules entirely"
"AI classification","offer_type / audience_type","Free-text fields","","Informational only","",""
"AI classification","icp_signal","strong / moderate / weak","","Yes - 35% of score; weak = hard score cap at 3.0","","The single biggest lever in the whole system"
"AI classification","has_visible_offer","true / false","","Feeds monetization score","",""
"AI classification","offer_confidence","high / medium / low / none","","Feeds monetization score","",""
"Funnel enrichment (runs AFTER qualification)","funnel_url / funnel_platform","Bio link destination + detected platform (e.g. Kajabi, ClickFunnels)","","No - doesn't exist yet at gating time","","Cannot currently be used as a qualifying signal"
"Funnel enrichment (runs AFTER qualification)","funnel_program_name / funnel_offer_summary","Extracted program name and offer summary from the funnel page","","No","","Same timing issue as above"
